Company_Name,Job_Title,Location,Job_Url,Posted_On,Job_ID,City,State
Disney Entertainment & ESPN Technology,Software Engineer I,United States,https://www.indeed.com/rc/clk?jk=0acf6ca2c32e29e4&bb=6-gDirkao3govsXGk173AnKsrzfF7Xq9b8YmibBIYTVoR1-ReikEs9VzNTFSoWjgxCevMFinlsEZ3A2EIRwNkpZKQfEry3YIF6Y-SdmCkSA%3D&xkcb=SoCx67M3H01Q1Nwgdx0MbzkdCdPP&fccid=820ac147e8dc015b&vjs=3,2023-12-14,job_0acf6ca2c32e29e4,Glendale,CA
Atlantis IT Group,Software Engineer,United States,https://www.indeed.com/rc/clk?jk=fe27a76e94dde695&bb=6-gDirkao3govsXGk173AlW1FYGMHGhOWMMRpO9xXkAap-Zucvy_cXD-HUDbTc4WNtdjlMRWF8W0P6JL6MqrCYbyoJqjBUqPH_fPBCiKIV8%3D&xkcb=SoBY67M3H01Q1Nwgdx0DbzkdCdPP&fccid=2009855d38d34a84&cmp=Atlantis-IT-Group&ti=Software+Engineer&vjs=3,2023-12-14,job_fe27a76e94dde695,Cedar Rapids,IA
Coinbase,"Software Engineer, Backend - Developer",United States,https://www.indeed.com/rc/clk?jk=95e65e9f00f306ff&bb=6-gDirkao3govsXGk173ArQ12UeCDKSeejvXcMnnvkr9Mso7Q8BNTVO9bemmAGc1YXbF6FJfYDjXR2AxHmQhJSx-JCHsHY3IZIr7UY3nXvc%3D&xkcb=SoDs67M3H01Q1Nwgdx0CbzkdCdPP&fccid=d2c6abf8a785fc40&vjs=3,2023-12-14,job_95e65e9f00f306ff,Remote,Not Available
"MultiSystems, Inc.",Software Developer Engineer,United States,https://www.indeed.com/rc/clk?jk=622fbfd3673df13e&bb=6-gDirkao3govsXGk173Auq_zVn7fWhn-HJti1LBrW-QPbHHrA8FciJqNU_R1Mn1za5P6t1METzZFKudSnpqsp5kkuiM2AGl8mh-jISk_nE%3D&xkcb=SoBx67M3H01Q1Nwgdx0BbzkdCdPP&fccid=a54659dd1405fe4d&cmp=MultiSystems%2C-Inc.&ti=Software+Engineer&vjs=3,2023-12-14,job_622fbfd3673df13e,San Juan,PR
Plaxonic Technologies Pvt. Ltd.,Aerospace Software Engineer,United States,https://www.indeed.com/rc/clk?jk=641da0a627f8a6d8&bb=6-gDirkao3govsXGk173ApCbR4bXM64tfxCL5K1bf01f1Ha2QIeJ-PzjJVvYv-cnI-IYJIPmEniTltamYlKjN2KGdaX30hl1nFovuoBmWSA%3D&xkcb=SoDF67M3H01Q1Nwgdx0AbzkdCdPP&fccid=4fe234f122c10841&cmp=Plaxonic-Technologies&ti=Aeronautical+Engineer&vjs=3,2023-12-14,job_641da0a627f8a6d8,Cedar Rapids,IA
Hagie Manufacturing Company,Software Engineer,United States,https://www.indeed.com/rc/clk?jk=aec54dcec1c570e9&bb=6-gDirkao3govsXGk173Aq95TB-VwEqifPcDgJYyNbo_w6tw7HhXNojuXlSlnO9F6xI_N4c_jcU7AYlmma_KKQR0ZQWdDDY2IkdxLhqE-XA%3D&xkcb=SoBL67M3H01Q1Nwgdx0HbzkdCdPP&fccid=095ab7a73f53a70f&vjs=3,2023-12-14,job_aec54dcec1c570e9,Clarion,IA 50525
Pluralsight,Software Engineer,United States,https://www.indeed.com/rc/clk?jk=70d0c39f63304e35&bb=6-gDirkao3govsXGk173Aqdkz4zLiDrdgFYv6fZ9GgiSG_5oRNd1tON-tHrvy6efVkDb4UkJNSkpWZqKoK5ge64CQCIEF-ouO2xNlHoy26A%3D&xkcb=SoD_67M3H01Q1Nwgdx0GbzkdCdPP&fccid=51dc2e5aecda9e29&vjs=3,2023-12-14,job_70d0c39f63304e35,Remote,Not Available
McDonald's Corporation,Web Developer III - NextJS,United States,https://www.indeed.com/rc/clk?jk=d250777741bf5bdd&bb=6-gDirkao3govsXGk173AvvJi7oVU38Yb48cAIav2qijhBLp_RhdPSyP09-vYeLVP3Qj7803C4_2v8Yvfvb6mFdMwosWjZ8qoAc5G2iuPZo%3D&xkcb=SoBi67M3H01Q1Nwgdx0FbzkdCdPP&fccid=f753bb1a40104d82&vjs=3,2023-12-14,job_d250777741bf5bdd,Chicago,IL 60607 
Laiba Technologies,Data Scientist,United States,https://www.indeed.com/rc/clk?jk=61f7faf208cad1b8&bb=NN97F38Pd_gSxQoD-LYDFK1soXh3qSc2Rc788CmJ8gOQ41kph1PjfgpkJrPGXFpv&xkcb=SoAG67M3H01u5-Q9aJ0JbzkdCdPP&fccid=2894f6decbba3c89&cmp=Laiba-Technologies&ti=Data+Scientist&vjs=3,2023-12-14,job_61f7faf208cad1b8,Austin,TX 78732
SINCERA CONSULTING,Senior Data Scientist,United States,https://www.indeed.com/rc/clk?jk=18610a41f135e46a&bb=YJhhOPHymw9snU6NeaICfRKb4DXVm6NyvF_scBN1eJnsleDjTj0h1JCwD-rTZ-S7&xkcb=SoDe67M3H01u5-w9aJ0KbzkdCdPP&fccid=45aba4a3ea03218b&cmp=SINCERA-CONSULTING&ti=Senior+Data+Scientist&vjs=3,2023-12-14,job_18610a41f135e46a,Remote,Not Available
Wiliot,Data Scientist,United States,https://www.indeed.com/rc/clk?jk=fb3b471586b7e08a&bb=X-cBrLDrG0Ic1EbzCaaX0WDf_neinBSlHg_ymjIe2s-XB2p_9mS7Wzzr0zwvxvY_&xkcb=SoBo67M3H01u55Q9aJ0KbzkdCdPP&fccid=ab4bc0f901c4a322&vjs=3,2023-12-14,job_fb3b471586b7e08a,Hybrid remote in San Francisco,CA
Connvertex Technologies Inc.,Senior Data Scientist,United States,https://www.indeed.com/rc/clk?jk=7bad3d4302f5315e&bb=X-cBrLDrG0Ic5-GgbWv7SprzXJZ9IqsaBoYkj-wWDB60nRfv060rReJoHlpww7tC&xkcb=SoBB67M3H01u55Q9aJ0IbzkdCdPP&fccid=9054760f785524fd&cmp=Connvertex-Technologies-Inc.&ti=Senior+Data+Scientist&vjs=3,2023-12-14,job_7bad3d4302f5315e,Hybrid remote in Austin,TX 78701
